pair,layer,cosine
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,2,0.0328
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,3,0.0366
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,4,0.0191
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,5,0.0538
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,6,0.0245
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,7,0.0599
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,8,0.0359
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,9,-0.0025
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,10,0.0820
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,11,0.0778
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,12,0.0615
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,13,0.0751
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,14,0.0355
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,15,0.1113
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,16,0.0125
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,17,0.0336
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,18,0.1043
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,19,0.0215
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,20,0.1017
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,21,0.0265
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,22,0.0610
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,23,0.0367
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,24,0.0260
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,25,0.0710
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,26,0.0353
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,27,0.0181
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,0,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,1,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,2,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,3,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,4,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,5,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,6,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,7,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,8,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,9,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,10,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,11,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,12,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,13,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,14,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,15,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,16,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,17,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,18,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,19,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,20,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,21,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,22,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,23,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,24,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,25,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,26,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_conceptor_probe_nll,27,1.0000
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,0,0.6424
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,1,0.7220
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,2,0.7898
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,3,0.8698
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,4,0.8951
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,5,0.9195
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,6,0.9342
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,7,0.9550
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,8,0.9628
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,9,0.9655
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,10,0.9652
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,11,0.9675
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,12,0.9731
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,13,0.9734
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,14,0.9812
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,15,0.9825
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,16,0.9876
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,17,0.9915
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,18,0.9927
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,19,0.9960
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,20,0.9977
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,21,0.9986
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,22,0.9994
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,23,0.9996
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,24,0.9998
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,25,0.9999
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,26,0.9999
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_mse,27,0.9967
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,0,0.6424
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,1,0.7220
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,2,0.7898
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,3,0.8698
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,4,0.8951
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,5,0.9195
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,6,0.9342
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,7,0.9550
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,8,0.9628
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,9,0.9655
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,10,0.9652
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,11,0.9675
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,12,0.9731
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,13,0.9734
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,14,0.9812
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,15,0.9825
psr_multi_gate_conceptor_probe_mse vs psr_multi_gate_probe_nll,16,0.9876
